network,b,r,delta,avg_time_all,time_AA,time_AB,time_BA,time_BB,avg_game_fix,avg_const_fix,game_fix_C,game_fix_D,const_fix_M,const_fix_R
ring,1.0,1.0,0.01,77.53056,235.41176470588232,172.5299823633157,171.74836905871388,55.158541379988215,45.96504,44.59216,166.02633679169992,32.58931270561038,167.59312080536913,31.62637071100106
ring,1.0,1.0,0.02,77.6296,227.7964601769912,172.14003590664274,171.15482695810564,55.52206388206388,45.77696,44.74008,165.01711491442543,32.798367781424645,166.18909991742362,31.71193196917353
ring,1.0,1.0,0.2,72.16448,200.41176470588232,173.48824343015215,173.40410347903656,53.70324896108802,39.53544,44.26728,167.1946902654867,30.911435647792292,166.282590412111,31.441163469189284
ring,1.0,1.1,0.01,77.63712,237.4416666666667,172.18843120070116,171.96548507462683,55.1939608537425,46.0332,44.65352,165.6272799365583,32.61491235875078,167.83976510067112,31.66819950477538
ring,1.0,1.1,0.02,77.89864,227.56637168141592,172.13183856502243,170.9035166816952,55.74722030896389,45.84552,44.94312,164.89332247557005,32.87615330021292,165.90425531914894,31.8366731690016
ring,1.0,1.1,0.2,72.9432,208.0,170.65669515669512,174.1868932038835,53.40057251908397,39.42784,45.60848,164.6530612244898,31.048139296688287,167.61608497723824,31.22768735467716
ring,1.0,1.2,0.01,77.73392,236.5966386554622,172.35982532751092,171.57050092764376,55.24847410907659,46.11416,44.6916,165.72072784810126,32.658953364186544,167.28487886382624,31.708838361496948
ring,1.0,1.2,0.02,77.93184,232.43589743589743,173.02986425339367,170.97234611953613,55.53756030323914,45.69952,45.25096,165.3445171849427,32.73568008512147,166.60096930533118,31.911294619072997
ring,1.0,1.2,0.2,72.87928,212.5632183908046,169.8861313868613,170.98969072164948,52.45149469623915,38.91904,46.0448,164.98056994818654,30.62099249658936,165.2034602076125,30.469561284486662
ring,1.0,3.0,0.01,79.1744,214.74436090225564,174.74579273693533,174.6773136773137,54.96156533892383,46.33376,46.27416,167.0419968304279,32.778519309485674,167.7799113737075,31.513816615826308
ring,1.0,3.0,0.02,78.29264,213.2936507936508,173.1254752851711,172.03683806600154,54.44565325880826,45.0296,46.4032,165.89728353140916,32.45389507154213,164.6151154653604,31.144883027730103
ring,1.0,3.0,0.2,77.83472,197.93401015228423,173.32247557003257,154.7157894736842,46.07121497397276,40.30384,51.02768,168.22318125770656,31.428608093078964,147.81869093454674,22.35072073006326
ring,2.0,1.0,0.01,77.87808,234.375,173.64721030042915,171.90543071161048,55.135212378042766,46.4608,44.51656,167.1182879377432,32.63602318323674,167.16077441077442,31.63631541725601
ring,2.0,1.0,0.02,77.91464,227.8717948717949,173.01473136915075,172.7834862385321,55.16115987769998,46.21656,44.68376,165.9771833202203,32.66096713865883,166.91963545981773,31.61914460285132
ring,2.0,1.0,0.2,74.04752,222.51041666666663,170.6797454931071,170.82659478885893,53.45496714340936,41.84944,44.55392,166.85274302213668,30.5172323531978,166.3366418527709,31.513860596935608
ring,2.0,1.1,0.01,78.03896,235.01652892561984,173.20600858369096,172.3876404494382,55.30800315395229,46.44136,44.71304,166.64152410575429,32.65703584804709,167.6761984861228,31.787286712050214
ring,2.0,1.1,0.02,78.0408,228.14655172413796,172.36151855047456,172.95537340619308,55.23580527303248,46.22744,44.80536,165.28235294117647,32.70449888641426,166.90362438220757,31.67162856636541
ring,2.0,1.1,0.2,74.31368,210.39795918367344,169.85591397849464,170.21362489486964,53.28717300398717,41.62144,45.01176,165.15369649805447,30.551778242677823,165.3947163947164,31.194506376527244
ring,2.0,1.2,0.01,78.0704,234.15833333333333,173.36410256410255,172.11556383970174,55.269310446877775,46.52512,44.66008,166.76279069767443,32.68867082961641,167.23051131601005,31.727690811002034
ring,2.0,1.2,0.02,78.0024,229.83050847457628,172.3047619047619,172.66304347826085,55.14946162204879,46.1516,44.91872,165.26315789473685,32.64585374543511,166.53846153846155,31.74091150913283
ring,2.0,1.2,0.2,74.52904,212.11818181818185,169.3576799140709,169.71628994544037,52.36458333333334,41.12296,45.72432,165.30547550432277,29.84152194781395,164.04737975592246,30.88466732691096
ring,2.0,3.0,0.01,79.03504,214.8571428571429,174.02849740932643,173.3625730994152,54.96624051138634,46.55368,45.83616,166.43222308288148,32.746632170577215,166.25187969924812,31.49838854073411
ring,2.0,3.0,0.02,78.1728,215.46875,171.38280542986428,170.37960122699388,54.0025092843521,45.24256,46.07792,164.470397404704,32.194905476169346,163.0663407821229,30.94172388868811
ring,2.0,3.0,0.2,81.38488,205.0131004366812,176.61411764705886,156.39288417865254,46.36644264722633,43.0584,52.16456,168.68860055607044,31.18947552753699,149.91640543364682,23.01869352996157
ring,3.0,1.0,0.01,78.1404,225.4920634920635,174.8686006825939,171.7089072543618,55.018886581627605,46.45192,44.8064,167.44838212634824,32.43179789323335,166.1440329218107,31.74257864421799
ring,3.0,1.0,0.02,78.29328,219.4883720930233,176.71920757967268,173.80070859167404,54.45491518698542,46.35592,45.14728,169.4589147286822,32.189741302408564,166.4093799682035,31.57783312577833
ring,3.0,1.0,0.2,74.94504,229.1654135338346,169.3018549747049,170.6432481751825,51.41467526028755,42.97624,44.32712,164.10841546626233,28.68652177801628,164.1253051261188,31.264217904356315
ring,3.0,1.1,0.01,78.50592,226.89922480620157,174.3135593220339,172.54051565377534,55.31766452251361,46.57392,45.11024,166.91061879297175,32.49825752837101,167.01810699588478,31.985024368630928
ring,3.0,1.1,0.02,78.36576,219.56153846153848,176.56335616438355,173.63724624889673,54.431621809514354,46.46984,45.10888,169.32126348228044,32.23477950366006,166.2541567695962,31.49256919106523
ring,3.0,1.1,0.2,75.53872,215.2408759124088,170.6361365528726,170.39931448157668,51.12116058029015,42.8708,45.04936,164.34529147982062,28.309532341874217,163.77377300613497,31.221507681314755
ring,3.0,1.2,0.01,78.64392,226.4724409448819,174.35383319292333,172.99268069533392,55.310413157634,46.67664,45.16808,166.93759512937595,32.54979438583944,167.3237704918033,31.956205673758863
ring,3.0,1.2,0.02,78.36344,220.03053435114504,177.16003460207614,172.96153846153845,54.42983414440362,46.30816,45.30296,169.83993783993785,32.12949255328636,165.60156862745097,31.638752783964364
ring,3.0,1.2,0.2,76.07696,221.80666666666667,171.26633165829145,169.78503184713375,50.49989898989899,42.71544,45.99384,166.46354166666666,27.80709931875224,163.9651493598862,31.0427257977285
ring,3.0,3.0,0.01,79.22864,211.7925925925926,174.9863247863248,173.4416873449131,54.81083516923693,46.55992,46.08776,166.64980842911876,32.56105404198303,165.86830357142858,31.657404087486555
ring,3.0,3.0,0.02,78.47784,218.9154929577465,174.84986595174263,170.66066066066065,53.18562632482084,45.08056,46.61608,168.34258524980172,31.25073405107216,163.02306648575305,31.05432613821875
ring,3.0,3.0,0.2,81.34432,202.3032490974729,166.79926335174954,155.05704441041348,43.94287390029326,43.2092,52.09872,160.5986793837124,28.84250695878603,149.374177916234,22.85839142649048
bipartite,1.0,1.0,0.01,43.44448,111.91869918699189,85.9338768115942,89.1376380628717,32.63708399366086,26.34688,26.58192,82.85900570497148,20.19586622904285,86.09307692307692,19.674375
bipartite,1.0,1.0,0.02,43.332,115.15126050420167,85.07312440645772,88.8010033444816,32.783162258191865,26.08488,26.67592,82.6467576791809,20.23296257062147,85.73155893536122,19.73285650424676
bipartite,1.0,1.0,0.2,40.53056,105.85714285714286,83.89024390243902,87.88136942675159,32.63378833208676,22.38048,27.0864,78.89598540145985,19.78924029451138,85.17987804878048,20.273864855202003
