graph_idx,theta_diff_mean,k_coop,mean_degree,mean_closeness,mean_betweenness,clustering
0,0.0,0,1.6666666666666667,0.6296296296296297,0.16666666666666666,0.0
1,0.2491863905325444,6,1.6666666666666667,0.5625,0.21666666666666667,0.0
2,0.35226337448559614,6,1.6666666666666667,0.5411255411255411,0.23333333333333336,0.0
3,0.4560030686612963,6,1.6666666666666667,0.5081955081955082,0.26666666666666666,0.0
4,0.45783369698236626,6,1.6666666666666667,0.4900793650793651,0.2833333333333334,0.0
5,0.5942350332594236,6,1.6666666666666667,0.4478114478114478,0.3333333333333333,0.0
6,-0.0010613207547169694,5,2.0,0.6527777777777778,0.15,0.35000000000000003
7,0.11621880353558522,6,2.0,0.6045274170274171,0.18333333333333335,0.25
8,0.1837606837606834,6,2.0,0.5844155844155844,0.20000000000000004,0.16666666666666666
9,0.1863044355101032,6,2.0,0.5810185185185185,0.20000000000000004,0.3611111111111111
10,0.19511037265606446,6,2.0,0.5972222222222222,0.18333333333333335,0.0
11,0.25188320194188746,6,2.0,0.5419464794464794,0.2333333333333333,0.27777777777777773
12,0.2740155339077503,6,2.0,0.5747955747955747,0.19999999999999998,0.0
13,0.2666666666666667,6,2.0,0.5555555555555556,0.21666666666666667,0.0
14,0.2597313363631211,6,2.0,0.5562770562770563,0.2166666666666667,0.38888888888888884
15,0.35127815931787226,6,2.0,0.5027056277056278,0.26666666666666666,0.3888888888888889
16,0.34603122352066196,6,2.0,0.5366855366855366,0.23333333333333336,0.0
17,0.3764834990267521,6,2.0,0.5883237133237132,0.18333333333333332,0.0
18,0.5,6,2.0,0.5555555555555555,0.19999999999999998,0.0
19,-0.048267135351645986,2,2.3333333333333335,0.6792328042328042,0.13333333333333333,0.4777777777777778
20,-0.006008784562212173,2,2.3333333333333335,0.6527777777777778,0.15,0.4444444444444444
21,0.041099167886595935,5,2.3333333333333335,0.6286676286676287,0.16666666666666666,0.3888888888888889
22,0.040313128767605455,4,2.3333333333333335,0.6269841269841271,0.16666666666666666,0.4166666666666666
23,0.08247249517090789,4,2.3333333333333335,0.5853174603174603,0.19999999999999998,0.3333333333333333
24,-0.00714285714285758,4,2.3333333333333335,0.6759259259259259,0.13333333333333333,0.7000000000000001
25,0.10251530030690699,6,2.3333333333333335,0.6421957671957673,0.15000000000000002,0.25
26,0.08387210023390246,5,2.3333333333333335,0.6230459355459356,0.16666666666666666,0.611111111111111
27,0.08939785413675679,4,2.3333333333333335,0.6018518518518519,0.18333333333333335,0.5
28,0.10118623358110157,6,2.3333333333333335,0.638888888888889,0.15,0.0
29,0.15774508100450405,6,2.3333333333333335,0.6147787397787398,0.16666666666666666,0.27777777777777773
30,0.14525857103147213,6,2.3333333333333335,0.5598336848336848,0.2166666666666667,0.4444444444444444
31,0.1503424716972077,6,2.3333333333333335,0.6180856180856181,0.16666666666666666,0.16666666666666666
32,0.15764482431149096,6,2.3333333333333335,0.618085618085618,0.16666666666666666,0.0
33,0.15200975713225165,6,2.3333333333333335,0.6157407407407408,0.16666666666666666,0.36111111111111116
34,0.23737636115499514,6,2.3333333333333335,0.6316137566137566,0.15,0.27777777777777773
35,0.22676751535811915,6,2.3333333333333335,0.6084656084656084,0.16666666666666666,0.0
36,0.23487867981260005,6,2.3333333333333335,0.6547619047619048,0.13333333333333333,0.0
