,theta_diff_mean,k_coop,mean_degree,mean_closeness,clustering
theta_diff_mean,0.0,3.999472554123288e-35,1.2673497214220241e-40,2.3641035414195932e-53,5.8027082098845155e-27
k_coop,3.999472554123288e-35,0.0,4.0854283578537174e-24,3.414055460986479e-27,1.7014806866427746e-16
mean_degree,1.2673497214218859e-40,4.0854283578537174e-24,0.0,3.515908573568949e-65,1.1907170102883225e-21
mean_closeness,2.3641035414195932e-53,3.414055460986479e-27,3.5159085735677804e-65,0.0,1.4493462292683003e-20
clustering,5.8027082098845155e-27,1.7014806866427746e-16,1.1907170102883225e-21,1.4493462292683003e-20,0.0
