property,layer 1,layer 2
mean_degree,0.8550682388770499,-0.04020256684166637
max_degree,0.2839533428189105,-0.03875814598743748
var_degree,-0.08061751893438654,-0.014387205049269347
mean_closeness,0.8305065776182932,-0.04447183888441211
mean_betweenness,-0.7769995354843807,0.044830474019759765
clustering,0.28559705740992103,-0.028786927332724727
diameter,-0.531710219652928,0.03631175045909242
alg_conn,0.7223971519827201,-0.03396304833478301
