,theta_diff_mean,k_coop,mean_degree,mean_closeness,clustering
theta_diff_mean,0.9999999999999999,0.8673804302018948,-0.8961930837077242,-0.9404137181303147,-0.8074141116504077
k_coop,0.8673804302018948,0.9999999999999999,-0.7797993666184098,-0.8094707062915323,-0.6797997470260881
mean_degree,-0.8961930837077243,-0.7797993666184098,1.0,0.9641061126820873,0.7521743299187712
mean_closeness,-0.9404137181303147,-0.8094707062915323,0.9641061126820876,1.0,0.7387315435221569
clustering,-0.8074141116504078,-0.6797997470260881,0.7521743299187712,0.7387315435221569,1.0
