property,Pearson_R,p_value,n
mean_degree,0.640555474578568,0.03372559667082532,11
mean_closeness,0.7502108378935515,0.00782524359472771,11
mean_betweenness,0.0432310132017181,0.8995682988327891,11
clustering,0.8343774870387863,0.0014033081289022138,11
