node,degree,closeness,betweenness,clustering,theta_diff,theta2,bc_single,network
0,1,0.2,0.0,0.0,0.9722222222222219,-2.222222222222223,2.2857142857142874,ER N=15 p=0.1 (G1)
1,2,0.3333333333333333,0.5,0.0,1.5415875318842591,-3.9496835800056385,2.5620884304753035,ER N=15 p=0.1 (G1)
2,2,0.2903225806451613,0.38888888888888884,0.0,1.6050111516700873,-3.9738123389722784,2.4758783356971352,ER N=15 p=0.1 (G1)
3,2,0.2903225806451613,0.38888888888888884,0.0,1.6050111516700856,-3.9738123389722793,2.4758783356971388,ER N=15 p=0.1 (G1)
4,2,0.36,0.5555555555555556,0.0,1.5183145378424046,-3.9405581411239843,2.595350332826096,ER N=15 p=0.1 (G1)
5,2,0.24324324324324326,0.2222222222222222,0.0,1.8267864180764048,-4.040782244609205,2.2119620578655956,ER N=15 p=0.1 (G1)
6,2,0.3333333333333333,0.5,0.0,1.541587531884261,-3.9496835800056402,2.5620884304753018,ER N=15 p=0.1 (G1)
7,2,0.36,0.5555555555555556,0.0,1.5183145378424046,-3.940558141123986,2.5953503328260967,ER N=15 p=0.1 (G1)
8,1,0.2,0.0,0.0,0.9722222222222223,-2.2222222222222214,2.2857142857142847,ER N=15 p=0.1 (G1)
9,2,0.24324324324324326,0.2222222222222222,0.0,1.8267864180764013,-4.040782244609197,2.2119620578655956,ER N=15 p=0.1 (G1)
0,1,0.4375,0.0,0.0,0.14793897179498083,-1.3280622351817295,8.97709521073464,BA N=15 m=2 (G1)
1,6,0.6363636363636364,0.15567765567765565,0.26666666666666666,0.9194891892368577,-7.357619119494132,8.001854949051316,BA N=15 m=2 (G1)
2,9,0.7368421052631579,0.4157509157509157,0.19444444444444445,1.1802597597074698,-9.872866172967711,8.364994308892413,BA N=15 m=2 (G1)
3,3,0.5185185185185185,0.07875457875457875,0.3333333333333333,0.581911271535053,-4.096426496685253,7.0396067185278675,BA N=15 m=2 (G1)
4,5,0.6086956521739131,0.2344322344322344,0.2,0.90712337780427,-6.524299525355297,7.192295651279142,BA N=15 m=2 (G1)
5,5,0.56,0.05494505494505495,0.4,0.7716823429210509,-6.291210790127255,8.152591345181127,BA N=15 m=2 (G1)
6,3,0.5,0.045787545787545784,0.3333333333333333,0.5322870623400178,-4.077911621493364,7.661113541941489,BA N=15 m=2 (G1)
7,4,0.5384615384615384,0.08608058608058608,0.16666666666666666,0.7363266097900061,-5.343824528890292,7.25741058090282,BA N=15 m=2 (G1)
8,2,0.4375,0.003663003663003663,0.0,0.3814591237586509,-2.8595180461426626,7.496263342627189,BA N=15 m=2 (G1)
9,2,0.45161290322580644,0.0,1.0,0.30989943154621313,-2.6870903341911587,8.670846283209306,BA N=15 m=2 (G1)
