model,N,param,b_over_c,r,delta,rule,pi_init,bc_star_single,bc_star_two,rho_C_two_sim,se_two,rho_C_single_sim,se_single,rho_C_two_pred,rho_C_single_pred
ER,100,0.1,11.428571428571429,5.0,0.02,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.006925,0.0001854325264752,0.00693,0.0001854989905632,0.0069168380579332,0.0066332448034605
ER,100,0.1,12.142857142857142,5.0,0.02,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.00735,0.0001909970876741,0.007405,0.0001917050595967,0.0072867990607703,0.0070032058062976
ER,100,0.1,12.857142857142858,5.0,0.02,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.008045,0.0001997533225631,0.007085,0.0001875473643509,0.0076567600636075,0.0073731668091348
ER,100,0.1,13.571428571428571,5.0,0.02,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.007795,0.000196649917048,0.00729,0.0001902216588614,0.0080267210664447,0.007743127811972
ER,100,0.1,14.285714285714285,5.0,0.02,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.00813,0.0002007971999306,0.007815,0.0001969000479304,0.0083966820692818,0.0081130888148091
ER,100,0.1,15.0,5.0,0.02,dB-dB,0.0076045627376425,13.303900231053708,12.756365196863086,0.008915,0.0002101847137043,0.00855,0.0002058749316939,0.008766643072119,0.0084830498176463
BA,15,2.0,4.0,5.0,0.2,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.12214,0.001464389431811,0.09016,0.0012808682555204,0.1143395152035149,0.0796272018179539
BA,15,2.0,4.571428571428571,5.0,0.2,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.12714,0.0014898014659678,0.09826,0.0013312022566086,0.1234383989092216,0.0887260855236606
BA,15,2.0,5.142857142857142,5.0,0.2,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.13172,0.0015124142395521,0.10402,0.0013652826784223,0.1325372826149282,0.0978249692293673
BA,15,2.0,5.714285714285714,5.0,0.2,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.13924,0.0015482391443184,0.11304,0.001416064676489,0.1416361663206349,0.1069238529350739
BA,15,2.0,6.285714285714286,5.0,0.2,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.14462,0.0015729275609512,0.1153,0.0014283270633856,0.1507350500263416,0.1160227366407806
BA,15,2.0,6.857142857142857,5.0,0.2,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.1481,0.0015884985993069,0.12058,0.0014562998564856,0.1598339337320483,0.1251216203464873
BA,15,2.0,7.428571428571429,5.0,0.2,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.1526,0.0016081868050696,0.1261,0.001484579334357,0.168932817437755,0.134220504052194
BA,15,2.0,8.0,5.0,0.2,dB-dB,0.1346153846153846,7.453370738399665,5.2733662136191795,0.15612,0.0016232470274114,0.13188,0.0015131930848374,0.1780317011434616,0.1433193877579007
ER,30,0.2,7.0,5.0,0.2,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.04432,0.0009203883702003,0.02958,0.0007576941810519,0.0351580646103873,0.0169386445251392
ER,30,0.2,7.571428571428571,5.0,0.2,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.0472,0.0009483897932812,0.03216,0.0007889959999898,0.0422739441806903,0.0240545240954423
ER,30,0.2,8.142857142857142,5.0,0.2,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.04978,0.0009726453783368,0.03564,0.0008290933650681,0.0493898237509934,0.0311704036657454
ER,30,0.2,8.714285714285714,5.0,0.2,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.05598,0.0010280684763185,0.03972,0.0008734108036886,0.0565057033212965,0.0382862832360485
ER,30,0.2,9.285714285714285,5.0,0.2,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.05874,0.0010515665685062,0.0422,0.0008991013291059,0.0636215828915996,0.0454021628063515
ER,30,0.2,9.857142857142858,5.0,0.2,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.05998,0.0010619077135043,0.04418,0.0009190008443956,0.0707374624619027,0.0525180423766546
ER,30,0.2,10.428571428571429,5.0,0.2,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.06642,0.0011136281569716,0.05024,0.0009768924444379,0.0778533420322057,0.0596339219469577
ER,30,0.2,11.0,5.0,0.2,dB-dB,0.0523255813953488,9.841687606317322,8.378608153002899,0.06996,0.0011407506160419,0.05224,0.000995097808258,0.0849692216025088,0.0667498015172608
BA,30,2.0,3.5,5.0,0.2,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.08928,0.001275218268376,0.05924,0.0010557520769574,0.0776503726374401,0.0474141738136863
BA,30,2.0,3.928571428571429,5.0,0.2,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.09752,0.0013267241582182,0.07136,0.0011512406386155,0.090329394927588,0.0600931961038343
BA,30,2.0,4.357142857142857,5.0,0.2,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.10446,0.001367831191339,0.07836,0.0012018295253487,0.1030084172177359,0.0727722183939821
BA,30,2.0,4.785714285714286,5.0,0.2,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.1135,0.0014185749892057,0.08666,0.0012581736318966,0.1156874395078838,0.0854512406841301
BA,30,2.0,5.214285714285714,5.0,0.2,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.1187,0.001446446058448,0.09542,0.0013138875416107,0.1283664617980318,0.098130262974278
BA,30,2.0,5.642857142857142,5.0,0.2,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.12778,0.0014929988050899,0.10444,0.0013677155142791,0.1410454840881796,0.1108092852644259
BA,30,2.0,6.071428571428571,5.0,0.2,dB-dB,0.1071428571428571,5.518925951487901,4.496893603257467,0.1334,0.0015205554248365,0.11374,0.001419881772543,0.1537245063783275,0.1234883075545738
