g1_idx,g2_idx,same_graph,theta_diff,theta2,phi20,bc_single,bc_two,enhancement,g1_n_edges,g1_mean_degree,g1_max_degree,g1_var_degree,g1_mean_closeness,g1_mean_betweenness,g1_clustering,g1_diameter,g1_alg_conn,g2_n_edges,g2_mean_degree,g2_max_degree,g2_var_degree,g2_mean_closeness,g2_mean_betweenness,g2_clustering,g2_diameter,g2_alg_conn
0,0,1,0.0,-0.6666666666666669,-0.21818181818181828,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004
0,1,0,0.0,-0.6666666666666669,-0.21030616919474712,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,5,1.6666666666666667,4,1.222222222222222,0.5625,0.21666666666666667,0.0,3,0.4858630706647121
0,2,0,0.0,-0.6666666666666669,-0.21121196801176592,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,5,1.6666666666666667,3,0.888888888888889,0.5411255411255411,0.23333333333333336,0.0,3,0.4384471871911718
0,3,0,0.0,-0.6666666666666669,-0.214811789609314,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,5,1.6666666666666667,3,0.5555555555555557,0.5081955081955082,0.26666666666666666,0.0,4,0.38196601125010754
0,4,0,0.0,-0.6666666666666669,-0.21327240691962704,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,5,1.6666666666666667,3,0.5555555555555556,0.4900793650793651,0.2833333333333334,0.0,4,0.3248691294333556
0,5,0,0.0,-0.6666666666666669,-0.22207090557505507,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,5,1.6666666666666667,2,0.22222222222222224,0.4478114478114478,0.3333333333333333,0.0,5,0.267949192431123
0,6,0,0.0,-0.6666666666666669,-0.21736514076939617,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,5,2.0,0.6527777777777778,0.15,0.35000000000000003,2,1.0000000000000016
0,7,0,0.0,-0.6666666666666669,-0.2055589138775461,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,4,1.3333333333333333,0.6045274170274171,0.18333333333333335,0.25,3,0.6313506281127648
0,8,0,0.0,-0.6666666666666669,-0.2143832864604259,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,3,1.0,0.5844155844155844,0.20000000000000004,0.16666666666666666,3,0.6972243622680052
0,9,0,0.0,-0.6666666666666669,-0.2088789576978554,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,4,1.0,0.5810185185185185,0.20000000000000004,0.3611111111111111,3,0.4858630706647103
0,10,0,0.0,-0.6666666666666669,-0.2067884729649436,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,4,1.0,0.5972222222222222,0.18333333333333335,0.0,3,0.7639320225002227
0,11,0,0.0,-0.6666666666666669,-0.2105766412458592,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,3,0.6666666666666666,0.5419464794464794,0.2333333333333333,0.27777777777777773,4,0.4130940157074784
0,12,0,0.0,-0.6666666666666669,-0.20836988304093565,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,3,0.6666666666666666,0.5747955747955747,0.19999999999999998,0.0,3,0.657076917222832
0,13,0,0.0,-0.6666666666666669,-0.21147794513179133,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,3,0.6666666666666666,0.5555555555555556,0.21666666666666667,0.0,4,0.5857864376269057
0,14,0,0.0,-0.6666666666666669,-0.21254581521217283,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,3,0.6666666666666666,0.5562770562770563,0.2166666666666667,0.3888888888888889,3,0.43844718719117143
0,15,0,0.0,-0.6666666666666669,-0.21343415063867285,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,3,0.3333333333333333,0.5027056277056278,0.26666666666666666,0.3888888888888889,4,0.32486912943335394
0,16,0,0.0,-0.6666666666666669,-0.2108006912442396,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,3,0.3333333333333333,0.5366855366855366,0.23333333333333336,0.0,4,0.4384471871911698
0,17,0,0.0,-0.6666666666666669,-0.20966998374180768,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,3,0.3333333333333333,0.5883237133237132,0.18333333333333332,0.0,3,0.6972243622680063
0,18,0,0.0,-0.6666666666666669,-0.21405228758169945,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,6,2.0,2,0.0,0.5555555555555555,0.19999999999999998,0.0,3,1.0
0,19,0,0.0,-0.6666666666666669,-0.20238656099024285,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,7,2.3333333333333335,5,1.888888888888889,0.6792328042328042,0.13333333333333333,0.4777777777777778,2,1.0000000000000047
0,20,0,0.0,-0.6666666666666669,-0.20563273039036414,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,7,2.3333333333333335,4,1.5555555555555554,0.6527777777777778,0.15,0.4444444444444444,3,0.7639320225002123
0,21,0,0.0,-0.6666666666666669,-0.20544613546718993,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,7,2.3333333333333335,4,1.2222222222222223,0.6286676286676287,0.16666666666666666,0.38888888888888884,3,0.6972243622680079
0,22,0,0.0,-0.6666666666666669,-0.20521167737497534,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,7,2.3333333333333335,4,1.2222222222222223,0.6269841269841271,0.16666666666666666,0.4166666666666667,3,0.7639320225002189
0,23,0,0.0,-0.6666666666666669,-0.21203252628272526,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,7,2.3333333333333335,3,0.888888888888889,0.5853174603174603,0.19999999999999998,0.3333333333333333,4,0.5857864376269055
0,24,0,0.0,-0.6666666666666669,-0.2065654937774197,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,7,2.3333333333333335,5,1.5555555555555554,0.6759259259259259,0.13333333333333333,0.7000000000000001,2,0.9999999999999999
0,25,0,0.0,-0.6666666666666669,-0.20514575264303733,,,,5,1.6666666666666667,5,2.222222222222222,0.6296296296296297,0.16666666666666666,0.0,2,1.0000000000000004,7,2.3333333333333335,4,0.8888888888888888,0.6421957671957673,0.15000000000000002,0.25,3,0.8817161344229568
