centrality,n_networks,mean_R,std_R
k_i,31,0.353568229607998,0.5096222384341047
closeness_i,31,0.3946018417880918,0.44390029007159204
betweenness_i,31,0.11167064938335751,0.5246229861021073
local_C_i,16,0.5054824773342271,0.6079089294721974
