graph_idx,centrality,R,p
1,k_i,-0.4399227865536077,0.3826854013193907
1,closeness_i,-0.293911077616159,0.5718279499197265
1,betweenness_i,-0.4867201849803024,0.3275708860415354
2,k_i,-1.0,0.0
2,closeness_i,-1.0,0.0
2,betweenness_i,-1.0,0.0
3,k_i,0.01031486409967737,0.9845282525827979
3,closeness_i,0.19446826619935642,0.7119747920608339
3,betweenness_i,0.010314864099677384,0.9845282525827979
4,k_i,-0.2943698204773252,0.5711993703277977
4,closeness_i,0.1421587547112117,0.7881983189984295
4,betweenness_i,-0.09910329557617495,0.8518317263206932
5,k_i,0.3739266061630049,0.46525150672269333
5,closeness_i,0.7541768252838418,0.08321612144478628
5,betweenness_i,0.6569094209795308,0.15637392560051533
7,k_i,0.039373958804330256,0.9409695826876083
7,closeness_i,0.12415788624193794,0.8147201287639653
7,betweenness_i,-0.2531671412924752,0.6283624849858993
7,local_C_i,0.9241124455101363,0.008419866176873557
8,k_i,1.0,0.0
8,closeness_i,1.0,0.0
8,betweenness_i,1.0,0.0
8,local_C_i,1.0,0.0
9,k_i,0.46840959343755306,0.3487719098399107
9,closeness_i,0.41966240555411827,0.4074611359603107
9,betweenness_i,0.08165770582368759,0.8777856872766863
9,local_C_i,0.6280691961193542,0.18177372109503054
10,k_i,-0.5338766937800165,0.27526888124508314
10,closeness_i,-0.21013526920117367,0.6894365500209281
10,betweenness_i,-0.42068691843620687,0.4061956783958444
11,k_i,0.5045128921741698,0.3074383169061136
11,closeness_i,0.6036556546797822,0.20450262336417246
11,betweenness_i,0.1512639222823085,0.7748346344005184
11,local_C_i,0.8514285033583842,0.03147048872744244
12,k_i,0.03809795695357132,0.9428807132918215
12,closeness_i,-0.08937635290514387,0.8662924457151218
12,betweenness_i,-0.29109001356115477,0.5756975023529065
13,k_i,-0.03889304050239731,0.9416898553869579
13,closeness_i,0.4659393286259673,0.351668594904618
13,betweenness_i,-0.10278326212250183,0.846368028510628
14,k_i,0.452983074822643,0.3670000166626035
14,closeness_i,0.27261202578075816,0.6012118584433602
14,betweenness_i,0.10274219357588313,0.846428980793789
14,local_C_i,0.652425873030235,0.1602168323639803
15,k_i,0.6922200873904942,0.12751495109095237
15,closeness_i,0.37434350144824735,0.4647136974549672
15,betweenness_i,0.010783512544413953,0.9838253581591353
15,local_C_i,0.760855166190012,0.07894700070720613
16,k_i,0.70190675680668,0.12004515201670386
16,closeness_i,0.6426515239213481,0.16873056909206985
16,betweenness_i,0.28726706253056794,0.5809523849283335
17,k_i,-0.2698308218303613,0.6050767792107944
17,closeness_i,0.02857854705143978,0.9571438499490986
17,betweenness_i,-0.2441566157411272,0.641042463779803
25,k_i,0.3607800599299197,0.48230988257931434
25,closeness_i,0.44170913846090476,0.3805265565758419
25,betweenness_i,0.11988577818914092,0.8210328678728209
25,local_C_i,0.8932642916928244,0.01648077325342796
28,k_i,-0.13735649549146453,0.7952609959980723
28,closeness_i,0.03291889648474843,0.9506394916156184
28,betweenness_i,-0.3043405355754265,0.5575836879400152
29,k_i,0.5059948762248023,0.30578282587636274
29,closeness_i,0.37626377229080693,0.4622390054208067
29,betweenness_i,0.00262499185926629,0.9960625212549618
29,local_C_i,0.6079745269889318,0.2004019414256221
30,k_i,0.719794646135516,0.10677239317119974
30,closeness_i,0.4637538572531071,0.3542384379576617
30,betweenness_i,-0.20915099212112817,0.6908480766976611
30,local_C_i,0.6098151871808721,0.19866459720307633
31,k_i,0.6891524842744987,0.12992126335131382
31,closeness_i,0.7107499827993549,0.11339822454064517
31,betweenness_i,0.434536370814507,0.38922042613566704
31,local_C_i,0.7122632516653131,0.1122774413034201
32,k_i,0.3956275315372755,0.4375207395538309
32,closeness_i,0.30741482761934674,0.5534037049828555
32,betweenness_i,-0.1393761336645376,0.7922895394454567
33,k_i,0.9685072759074519,0.0014720703954316369
33,closeness_i,0.9087389775670595,0.012112824224100706
33,betweenness_i,0.9000710287057591,0.014479763629891815
33,local_C_i,0.025622098827756894,0.9615752621091546
34,k_i,0.6445768678082962,0.1670388836166204
34,closeness_i,0.45344037916676216,0.3664549562232315
34,betweenness_i,0.15379802370604573,0.7711219207556423
34,local_C_i,0.8116409191491855,0.04987730559409484
35,k_i,0.9999999999999998,7.395570986446985e-32
35,closeness_i,1.0,0.0
35,betweenness_i,1.0,0.0
36,k_i,0.030094508471614267,0.9548718652813707
36,closeness_i,0.030094508471614212,0.9548718652813707
36,betweenness_i,-0.21086993541620144,0.6883833818207608
37,k_i,0.9999999999999999,0.0
37,closeness_i,1.0,0.0
37,betweenness_i,1.0,0.0
37,local_C_i,-0.9999999999999999,0.0
56,k_i,0.5049351891500784,0.3069662393760824
56,closeness_i,0.5049351891500784,0.3069662393760824
56,betweenness_i,0.007306514237187173,0.9890404236738998
56,local_C_i,0.703899578863254,0.11853281887057972
57,k_i,0.9999999999999997,2.9582283945787934e-31
57,closeness_i,1.0,0.0
57,betweenness_i,0.9999999999999999,0.0
57,local_C_i,-1.0,0.0
58,k_i,0.5736555463915334,0.23390616075278708
58,closeness_i,0.5736555463915334,0.23390616075278708
58,betweenness_i,-0.6959262299766562,0.12463382564683785
58,local_C_i,0.9063485987713752,0.012745188642948612
59,k_i,0.9999999999999997,2.9582283945787934e-31
59,closeness_i,1.0,0.0
59,betweenness_i,1.0,0.0
