g1,g2,panel,iC,iM,bc_single,bc_two,b_over_c,t,mean_R_all,n_R_all,mean_R_coop,n_R_coop,mean_R_def,n_R_def,rho_C
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,1,0.8538459941325403,346572,0.8086018587286884,59871,0.863294205442608,286701,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,2,0.7076385883868209,261186,0.6484175445833651,52979,0.7227075902922685,208207,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,3,0.5853552269559745,208047,0.5284984882400942,48657,0.6027118888276317,159390,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,5,0.4193619909393991,146366,0.38672676171930226,43334,0.4330879694999174,103032,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,7,0.32902588840012387,110745,0.31577258044485107,39177,0.3362808745079726,71568,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,10,0.2549481330447974,78158,0.26707886305528195,33051,0.24605965104472954,45107,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,15,0.19363295376433803,46624,0.22771571344295335,22714,0.16125504479988254,23910,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,20,0.14974147598685753,28175,0.19302724059809312,14464,0.10407848281809119,13711,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,30,0.09392348626889482,10433,0.14970768278681254,5404,0.033979601205695945,5029,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,50,0.013196889756197896,1423,0.0632005795810855,728,-0.039181075988432595,695,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,75,0.008009075235860369,112,0.11705038254999924,53,-0.08994328557175593,59,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,100,0.2877291459133582,9,0.3899270522033706,6,0.08333333333333333,3,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,150,,0,,0,,0,0.14343
25,5,top,0,0,28.32430170860728,6.747494614922509,10.121241922383764,200,,0,,0,,0,0.14343
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,1,-0.08372153699370188,347270,-0.03295568185094098,58809,-0.09407125212011756,288461,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,2,0.015446031718425709,251832,0.087131532302122,50085,-0.0023503582985060405,201747,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,3,0.09533973073335329,189858,0.17228814522020072,43585,0.07241139368288801,146273,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,5,0.1940098273157579,118549,0.2553995798446766,34534,0.16877583679217265,84015,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,7,0.23036395923292058,81577,0.27209664622830576,28495,0.20796139497513527,53082,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,10,0.22988303798672693,52263,0.26250694345836756,21862,0.20642249979982902,30401,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,15,0.19503435130692276,29231,0.2323543806968559,14068,0.1604093975736468,15163,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,20,0.15170358396277747,17379,0.1991981399815124,8872,0.10217123401588714,8507,0.140754
25,5,bot_i,0,1,28.32430170860728,26.47071859153476,10.121241922383764,30,0.10680408788753058,6335,0.16942050084294194,3264,0.0402524851892353,3071,0.140754
