model,param,N,rule,init_C,theta1,theta2,theta3,phi01,phi20,phi21,bc_star_single,bc_star_two
ER,0.1,100,dB-dB,0,-34.8336980347646,-34.45346989788252,-37.42342505462468,-0.37814670191252675,-0.35449156809086657,-0.3901384993315419,13.303900231053708,13.167016472506052
ER,0.1,100,dB-Bd,0,-34.8336980347646,-34.45346989788252,-37.42342505462468,-0.3870030132881499,-0.36287710229662906,-0.39876214023261075,13.303900231053708,13.163778473233753
BA,2.0,100,dB-dB,0,-67.67607937915203,-66.40056917507043,-82.84955263268732,-1.3050779524865366,-1.0445676454035568,-1.42278599527765,4.376095575849758,4.307253879031254
BA,2.0,100,dB-Bd,0,-67.67607937915203,-66.40056917507043,-82.84955263268732,-1.9111073112943768,-1.6551482045263022,-2.2761509741420105,4.376095575849758,4.267013879334383
